"Center Name","Product Code","Product Name","UOM","Product Type","Brand","Vendor","On-Hand Quantity","Stock Cost (Perpetual Average)","Business Unit","Configured Purchase Price","Avg Price (Perpetual)"
"Spa le Finlandais","111100000018","Tasse Thé Gaiwan","1 Units","Retail","Camellia Sinensis","Camellia Sinensis","0","0","BOUTIQUE","12.60","0"
"Spa le Finlandais","841453009123","Thé à l'érable 65gr","1 Units","Retail","Camellia Sinensis","Camellia Sinensis","4","0","BOUTIQUE","8.40","0"
"Spa le Finlandais","841453000182","Thé Chai Camellia Biologique 65gr","1 Units","Retail","Camellia Sinensis","Camellia Sinensis","2","0","BOUTIQUE","8.40","0"
"Spa le Finlandais","841453001462","Thé Éclat Citron Gingembre 75gr","1 Units","Retail","Camellia Sinensis","Camellia Sinensis","1","6.6","BOUTIQUE","6.60","6.6"
"Spa le Finlandais","111100000015","Thé Nuit Étoilée 65gr","1 Units","Retail","Camellia Sinensis","Camellia Sinensis","0","0","BOUTIQUE","7.80","0"
"Spa le Finlandais","841453000175","Thé Rooibos Zeste Éclair 65gr","1 Units","Retail","Camellia Sinensis","Camellia Sinensis","2","0","BOUTIQUE","6.60","0"
"Spa le Finlandais","5022","Tongs (Men) Large","1 Units","Retail","","Sly & Co","3284","2785.59","BOUTIQUE","4.60","0.85"
"Spa le Finlandais","5021","Tongs (Men) Medium","1 Units","Retail","","Sly & Co","35","161","BOUTIQUE","4.60","4.6"
"Spa le Finlandais","5020","Tongs (Men) Small","1 Units","Retail","","Sly & Co","1863","1641.94","BOUTIQUE","4.60","0.88"
"Spa le Finlandais","5025","Tongs (Women) Large","1 Units","Retail","","Sly & Co","10","35.15","BOUTIQUE","4.40","3.52"
"Spa le Finlandais","5024","Tongs (Women) Medium","1 Units","Retail","","Sly & Co","20","88","BOUTIQUE","4.40","4.4"
"Spa le Finlandais","5023","Tongs (Women) Small","1 Units","Retail","","Sly & Co","2784","2342.76","BOUTIQUE","4.40","0.84"
"Spa le Finlandais","111100000022","Tongs Hommes","1 Units","Retail","","Spa Le Finlandais","0","0","BOUTIQUE","1.00","0"
"Spa le Finlandais","5203","Tuque blanche avec pompom","1 Units","Retail","","Sly & Co","0","0","BOUTIQUE","N/A","0"
"Spa le Finlandais","5202","Tuque noire avec pompom","1 Units","Retail","","Sly & Co","4","0","BOUTIQUE","N/A","0"
"Spa le Finlandais","5207","Tuque revente beige","1 Units","Retail","","Sly & Co","39","312","BOUTIQUE","8.00","8"
"Spa le Finlandais","5208","Tuque revente Brune","1 Units","Retail","","Sly & Co","28","224","BOUTIQUE","8.00","8"
"Spa le Finlandais","5209","Tuque revente Grise","1 Units","Retail","","Sly & Co","-11","0","BOUTIQUE","8.00","0"
"Spa le Finlandais","5206","Tuque revente Kaki","1 Units","Retail","","Sly & Co","30","239.13","BOUTIQUE","8.00","7.97"
"Spa le Finlandais","5211","Tuque revente marine","1 Units","Retail","","Sly & Co","4","32","BOUTIQUE","8.00","8"
"Spa le Finlandais","5210","Tuque revente noire","1 Units","Retail","","Sly & Co","27","215.79","BOUTIQUE","8.00","7.99"